Isotope,A,Z,Excess Mass,BE,BE/a
NA18,18,11,25.036931,111.6413146498892,6.202295258327178
NA19,19,11,12.929391,131.82025789773414,6.93790831040706
NA20,20,11,6.850604,145.97044814557907,7.298522407278954
NA21,21,11,2.184637,158.707818393424,7.557515161591619
NA22,22,11,-5.181518,174.14537664126894,7.9156989382394976
NA23,23,11,-9.52985249,186.56511437911385,8.111526712135385
NA24,24,11,-8.417958,193.52462313695878,8.063525964039949
NA25,25,11,-9.357817,202.53588538480372,8.10143541539215
NA26,26,11,-6.86078,208.11025163264864,8.004240447409563
NA27,27,11,-5.517676,214.83855088049356,7.956983365944206
NA28,28,11,-0.988315,218.3805931283385,7.79930689744066
NA29,29,11,2.679976,222.7837053761834,7.682196737109773
NA30,30,11,8.47467,225.06041462402834,7.502013820800944
NA31,31,11,12.260935,229.34555287187328,7.39824364102817
NA32,32,11,18.809658,230.86823311971818,7.214632284991193
NA33,33,11,23.967,233.78229436756317,7.084311950532217
NA34,34,11,31.289,234.53169761540806,6.897991106335532
NA35,35,11,37.84,236.052100863253,6.744345738950086
